dataset,column,description,unit,source_type,allowed_values,notes
ifct_2017_clean.csv,ifct_code,Unique alphanumeric food identifier from IFCT 2017,dimensionless,IFCT_DIRECT,A001-T014,Primary Key
ifct_2017_clean.csv,food_name,Standardized English food name,dimensionless,IFCT_DIRECT,String,From IFCT name
ifct_2017_clean.csv,scientific_name,Binomial botanical / zoological name,dimensionless,IFCT_DIRECT,String,From IFCT scie
ifct_2017_clean.csv,food_group,NIN-ICMR biological food group classification,dimensionless,IFCT_DIRECT,20 groups (A-T),From IFCT grup
ifct_2017_clean.csv,dietary_tag,Dietary lifestyle classification,dimensionless,IFCT_DERIVED,"VEGETARIAN, EGGETARIAN, NON_VEG",Derived from tags
ifct_2017_clean.csv,energy_kcal_per_100g,Metabolizable energy density,kcal/100g,IFCT_DERIVED,>= 0.0,kJ / 4.184; oils via Atwater fat factor 9 kcal/g
ifct_2017_clean.csv,protein_g_per_100g,Total protein content,g/100g,IFCT_DIRECT,>= 0.0,Kjeldahl crude protein
ifct_2017_clean.csv,fat_g_per_100g,Total crude fat content,g/100g,IFCT_DIRECT,>= 0.0,Mixed solvent extraction
ifct_2017_clean.csv,carbohydrate_g_per_100g,Available carbohydrates by difference,g/100g,IFCT_DIRECT,>= 0.0,Excludes dietary fibre
ifct_2017_clean.csv,fibre_g_per_100g,Total dietary fibre,g/100g,IFCT_DIRECT,>= 0.0,Enzymatic-gravimetric method
ifct_2017_clean.csv,calcium_mg_per_100g,Elemental calcium content,mg/100g,IFCT_DERIVED,>= 0.0,Converted from g/100g * 1000
ifct_2017_clean.csv,iron_mg_per_100g,Elemental iron content,mg/100g,IFCT_DERIVED,>= 0.0,Converted from g/100g * 1000
ifct_2017_clean.csv,potassium_mg_per_100g,Elemental potassium content,mg/100g,IFCT_DERIVED,>= 0.0,Converted from g/100g * 1000
ifct_2017_clean.csv,sodium_mg_per_100g,Elemental sodium content,mg/100g,IFCT_DERIVED,>= 0.0,Converted from g/100g * 1000
ifct_2017_clean.csv,water_g_per_100g,Moisture content,g/100g,IFCT_DIRECT,>= 0.0,Moisture by drying
ifct_2017_clean.csv,source_class,Data provenance classification,dimensionless,DERIVED,IFCT_DERIVED,Provenance tracking
ingredient_master.csv,ingredient_id,Unique canonical ingredient identifier (ING_001 - ING_080),dimensionless,DERIVED,ING_XXX,Primary Key
ingredient_master.csv,canonical_ingredient_name,Standardized canonical commodity name,dimensionless,DERIVED,String,Unique commodity label
ingredient_master.csv,category,Domain food category,dimensionless,DERIVED,"Cereal, Pulse, Vegetable, Fruit, Dairy, Poultry, Egg, Fat/Oil, Spice, Nut/Seed, Sweetener, Commercial",Taxonomy
ingredient_master.csv,source_class,Data provenance classification,dimensionless,DERIVED,DERIVED,Provenance tracking
ingredient_mapping_final.csv,ingredient,Canonical ingredient name,dimensionless,DERIVED,String,Foreign Key to ingredient_master
ingredient_mapping_final.csv,normalized_ingredient,Normalized lowercase tokenized string,dimensionless,DERIVED,String,Search key
ingredient_mapping_final.csv,ifct_code,Target IFCT 2017 food code,dimensionless,IFCT_DIRECT,A001-T014 or empty,Foreign Key to clean IFCT
ingredient_mapping_final.csv,ifct_name,Matching food name from IFCT,dimensionless,IFCT_DIRECT,String or empty,IFCT name
ingredient_mapping_final.csv,mapping_status,Validation level of the mapping,dimensionless,DERIVED,"VERIFIED, APPROXIMATE, UNMAPPED",Quality badge
ingredient_mapping_final.csv,mapping_type,Semantic relationship type,dimensionless,DERIVED,"DIRECT, SYNONYM, VARIETY, FOOD_FORM, INGREDIENT_FORM, EXTERNAL, UNAVAILABLE",Ontology link
ingredient_mapping_final.csv,confidence,Mapping confidence score,score (0.0 - 1.0),DERIVED,0.0 to 1.0,Subjective/audit confidence
ingredient_mapping_final.csv,source_type,Source origin classification,dimensionless,DERIVED,"IFCT_DIRECT, IFCT_DERIVED, EXTERNAL_REFERENCE, PROJECT_ASSUMPTION, UNAVAILABLE",Contract class
