canonical_dish,plate_role,dietary_tag,allowed_slots,source_class
Aloo,DRY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Aloo Bhaji,DRY_SABZI,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Aloo Bonda,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Aloo Cabbage Matar,DRY_SABZI,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Aloo Capsicum,DRY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Aloo Matar,DRY_SABZI,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Aloo Onion Kadhi,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Amritsari Badi,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Banana,ACCOMPANIMENT,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Beetroot Cucumber Salad,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Besan Chilla,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Besan Ka Halwa,DESSERT,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Biscuit,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Black Chana,DAL_PROTEIN,VEGETARIAN,"BREAKFAST,DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Black Dal Tadka,DAL_PROTEIN,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Boiled Egg,DAL_PROTEIN,EGGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Boondi Raita,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Bread,STAPLE,VEGETARIAN,BREAKFAST,PROJECT_DESIGN_CHOICE
Bread Pakora,SNACK,VEGETARIAN,E_TEA,PROJECT_DESIGN_CHOICE
Brownie,SNACK,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Butter Chicken,DAL_PROTEIN,NON_VEG,DINNER,PROJECT_DESIGN_CHOICE
Chaas,BEVERAGE,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Chana Dal Tadka,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Chana Peanut Salad,ACCOMPANIMENT,VEGETARIAN,LUNCH,PROJECT_DESIGN_CHOICE
Chana Toor Dal,DAL_PROTEIN,VEGETARIAN,DINNER,PROJECT_DESIGN_CHOICE
Chapati,STAPLE,VEGETARIAN,"DINNER,LUNCH",PROJECT_DESIGN_CHOICE
Chicken Curry,DAL_PROTEIN,NON_VEG,DINNER,PROJECT_DESIGN_CHOICE
Chicken Kolhapuri,DAL_PROTEIN,NON_VEG,DINNER,PROJECT_DESIGN_CHOICE
