dish,total_ingredients,mapped_ingredients,unmapped_ingredients,ifct_coverage_percent,assumption_count,external_data_count,calculation_status
Aloo,1,1,0,100.0,0,0,COMPLETE_IFCT
Aloo Bhaji,4,4,0,100.0,0,0,COMPLETE_IFCT
Aloo Bonda,4,4,0,100.0,0,0,COMPLETE_IFCT
Aloo Cabbage Matar,5,5,0,100.0,0,0,COMPLETE_IFCT
Aloo Capsicum,5,5,0,100.0,0,0,COMPLETE_IFCT
Aloo Matar,5,5,0,100.0,0,0,COMPLETE_IFCT
Aloo Onion Kadhi,5,5,0,100.0,1,0,ASSUMPTION_INCLUDED
Amritsari Badi,5,5,0,100.0,0,0,COMPLETE_IFCT
Banana,1,1,0,100.0,0,0,COMPLETE_IFCT
Beetroot Cucumber Salad,3,3,0,100.0,0,0,COMPLETE_IFCT
Besan Chilla,5,5,0,100.0,0,0,COMPLETE_IFCT
Besan Ka Halwa,4,4,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Biscuit,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Black Chana,5,5,0,100.0,0,0,COMPLETE_IFCT
Black Dal Tadka,5,5,0,100.0,0,0,COMPLETE_IFCT
Boiled Egg,1,1,0,100.0,0,0,COMPLETE_IFCT
Boondi Raita,3,3,0,100.0,1,0,ASSUMPTION_INCLUDED
Bread,1,1,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Bread Pakora,4,4,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Brownie,1,0,1,0.0,0,0,INSUFFICIENT_DATA
Butter Chicken,6,6,0,100.0,0,1,EXTERNAL_DATA_INCLUDED
Chaas,2,2,0,100.0,1,0,ASSUMPTION_INCLUDED
Chana Dal Tadka,6,6,0,100.0,0,0,COMPLETE_IFCT
Chana Peanut Salad,6,6,0,100.0,0,0,COMPLETE_IFCT
Chana Toor Dal,5,5,0,100.0,0,0,COMPLETE_IFCT
Chapati,1,1,0,100.0,0,0,COMPLETE_IFCT
Chicken Curry,6,6,0,100.0,0,0,COMPLETE_IFCT
