dish,serving_size_g,ingredient_count,data_coverage_percent,calculation_status,energy_kcal,protein_g,fat_g,carbohydrate_g,fibre_g,potassium_mg,sodium_mg,calcium_mg,iron_mg
Aloo,70.0,1,100.0,COMPLETE_IFCT,48.85,1.08,0.16,10.42,1.2,378.7,2.88,6.66,0.4
Aloo Bhaji,82.0,4,100.0,COMPLETE_IFCT,94.93,1.2,5.19,10.49,1.49,357.07,3.34,9.24,0.43
Aloo Bonda,70.0,4,100.0,COMPLETE_IFCT,166.58,4.97,9.17,15.42,3.81,414.62,5.86,13.44,1.47
Aloo Cabbage Matar,100.0,5,100.0,COMPLETE_IFCT,94.02,2.47,5.17,8.88,2.85,325.75,7.85,25.4,0.64
Aloo Capsicum,100.0,5,100.0,COMPLETE_IFCT,85.43,1.21,5.26,7.94,1.78,304.75,4.53,11.67,0.45
Aloo Matar,100.0,5,100.0,COMPLETE_IFCT,104.36,2.77,5.2,11.11,2.83,347.85,5.09,14.78,0.73
Aloo Onion Kadhi,95.0,5,100.0,ASSUMPTION_INCLUDED,157.35,5.9,7.5,15.98,3.83,386.8,13.66,50.2,1.47
Amritsari Badi,62.0,5,100.0,COMPLETE_IFCT,137.16,6.15,5.51,14.84,3.69,348.09,7.52,18.78,1.3
Banana,100.0,1,100.0,COMPLETE_IFCT,110.66,1.25,0.32,24.95,2.21,362.0,1.25,6.77,0.4
Beetroot Cucumber Salad,75.0,3,100.0,COMPLETE_IFCT,21.15,0.95,0.14,3.38,1.91,176.8,26.58,12.92,0.43
Besan Chilla,57.0,5,100.0,COMPLETE_IFCT,166.78,7.78,6.91,17.59,5.72,367.22,8.48,19.13,2.21
Besan Ka Halwa,85.0,4,100.0,EXTERNAL_DATA_INCLUDED,297.2,6.37,17.67,28.16,3.79,274.05,13.0,47.13,1.57
Biscuit,25.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Black Chana,67.0,5,100.0,COMPLETE_IFCT,142.25,6.01,6.62,13.96,8.28,339.34,10.77,49.87,2.17
Black Dal Tadka,57.0,5,100.0,COMPLETE_IFCT,141.57,6.96,5.53,14.91,6.63,370.3,9.96,29.25,1.88
Boiled Egg,50.0,1,100.0,COMPLETE_IFCT,73.86,6.72,5.27,0.0,0.0,63.5,60.5,27.56,0.94
