persona,date,slot,status,score,actual_energy,target_energy,energy_error,actual_protein,target_protein,clinical_violations,diet_violations,insufficient_data_violations
Persona_A_Diabetic_Female,2026-10-01,BREAKFAST,SUCCESS,158.61,373.0,355.52,17.480000000000018,9.3,12.04,0,0,0
Persona_A_Diabetic_Female,2026-10-01,LUNCH,SUCCESS,150.2,437.5,497.73,60.23000000000002,12.6,16.85,0,0,0
Persona_A_Diabetic_Female,2026-10-01,E_TEA,SUCCESS,124.44,178.6,142.21,36.389999999999986,5.2,4.81,0,0,0
Persona_A_Diabetic_Female,2026-10-01,DINNER,SUCCESS,155.54,399.3,426.63,27.329999999999984,10.7,14.44,0,0,0
Persona_A_Diabetic_Female,2026-10-02,BREAKFAST,SUCCESS,156.47,319.6,355.52,35.91999999999996,7.7,12.04,0,0,0
Persona_A_Diabetic_Female,2026-10-02,LUNCH,SUCCESS,150.74,376.7,497.73,121.03000000000003,13.5,16.85,0,0,0
Persona_A_Diabetic_Female,2026-10-02,E_TEA,SUCCESS,124.44,178.6,142.21,36.389999999999986,5.2,4.81,0,0,0
Persona_A_Diabetic_Female,2026-10-02,DINNER,SUCCESS,165.41,398.4,426.63,28.230000000000018,13.6,14.44,0,0,0
Persona_A_Diabetic_Female,2026-10-03,BREAKFAST,SUCCESS,138.45,260.0,355.52,95.51999999999998,7.8,12.04,0,0,0
Persona_A_Diabetic_Female,2026-10-03,LUNCH,SUCCESS,178.99,470.0,497.73,27.730000000000018,16.7,16.85,0,0,0
Persona_A_Diabetic_Female,2026-10-03,E_TEA,SUCCESS,124.44,178.6,142.21,36.389999999999986,5.2,4.81,0,0,0
Persona_A_Diabetic_Female,2026-10-03,DINNER,SUCCESS,160.28,375.5,426.63,51.129999999999995,10.8,14.44,0,0,0
Persona_A_Diabetic_Female,2026-10-04,BREAKFAST,SUCCESS,172.77,370.7,355.52,15.180000000000007,10.1,12.04,0,0,0
