ifct_code,food_name,scientific_name,food_group,dietary_tag,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fibre_g_per_100g,calcium_mg_per_100g,iron_mg_per_100g,potassium_mg_per_100g,sodium_mg_per_100g,water_g_per_100g,source_class
A001,"Amaranth seed, black",Amaranthus cruentus,Cereals and Millets,VEGETARIAN,356.12,14.59,5.74,59.98,7.02,181.0,9.33,433.0,2.7,9.89,IFCT_DERIVED
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Cereals and Millets,VEGETARIAN,355.88,13.27,5.56,61.46,7.47,162.0,8.02,413.0,2.81,9.2,IFCT_DERIVED
A003,Bajra,Pennisetum typhoideum,Cereals and Millets,VEGETARIAN,347.99,10.96,5.43,61.78,11.49,27.35,6.42,365.0,4.11,8.97,IFCT_DERIVED
A004,Barley,Hordeum vulgare,Cereals and Millets,VEGETARIAN,315.73,10.94,1.3,61.29,15.64,28.64,1.56,268.0,7.56,9.77,IFCT_DERIVED
A005,Jowar,Sorghum vulgare,Cereals and Millets,VEGETARIAN,334.13,9.97,1.73,67.68,10.22,27.6,3.95,328.0,5.42,9.01,IFCT_DERIVED
A006,"Maize, dry",Zea mays,Cereals and Millets,VEGETARIAN,334.13,8.8,3.77,64.77,12.24,8.91,2.49,291.0,4.44,9.26,IFCT_DERIVED
A007,"Maize, tender, local",Zea mays,Cereals and Millets,VEGETARIAN,119.98,3.57,1.4,22.69,3.67,6.35,0.71,167.0,2.24,68.29,IFCT_DERIVED
A008,"Maize, tender, sweet",Zea mays,Cereals and Millets,VEGETARIAN,96.8,4.16,1.35,16.42,3.3,6.37,0.54,297.0,2.23,74.4,IFCT_DERIVED
A009,Quinoa,Chenopodium quinoa,Cereals and Millets,VEGETARIAN,328.39,13.11,5.5,53.65,14.66,198.0,7.51,474.0,4.5,10.43,IFCT_DERIVED
A010,Ragi,Eleusine coracana,Cereals and Millets,VEGETARIAN,320.75,7.16,1.92,66.82,11.18,364.0,4.62,443.0,4.75,10.89,IFCT_DERIVED
A011,"Rice, flakes",Oryza sativa,Cereals and Millets,VEGETARIAN,353.73,7.44,1.14,76.75,3.46,9.19,4.46,148.0,2.58,10.36,IFCT_DERIVED
A012,"Rice, puffed",Oryza sativa,Cereals and Millets,VEGETARIAN,361.85,7.47,1.62,77.68,2.56,15.09,4.55,140.0,3.69,9.4,IFCT_DERIVED
A013,"Rice, raw, brown",Oryza sativa,Cereals and Millets,VEGETARIAN,353.73,9.16,1.24,74.8,4.43,10.93,1.02,199.0,3.64,9.33,IFCT_DERIVED
A014,"Rice, parboiled, milled",Oryza sativa,Cereals and Millets,VEGETARIAN,351.58,7.81,0.55,77.16,3.74,8.11,0.72,142.0,3.16,10.09,IFCT_DERIVED
A015,"Rice, raw, milled",Oryza sativa,Cereals and Millets,VEGETARIAN,356.36,7.94,0.52,78.24,2.81,7.49,0.65,108.0,2.34,9.93,IFCT_DERIVED
A016,Samai,Panicum sumatrense,Cereals and Millets,VEGETARIAN,346.32,10.13,3.89,65.55,7.72,16.06,1.26,105.0,4.77,11.36,IFCT_DERIVED
A017,Varagu,Setaria italica,Cereals and Millets,VEGETARIAN,331.74,8.92,2.55,66.19,6.39,15.27,2.34,94.0,3.35,14.23,IFCT_DERIVED
A018,"Wheat flour, refined",Triticum aestivum,Cereals and Millets,VEGETARIAN,351.82,10.36,0.76,74.27,2.76,20.4,1.77,148.0,1.54,11.34,IFCT_DERIVED
A019,"Wheat flour, atta",Triticum aestivum,Cereals and Millets,VEGETARIAN,320.27,10.57,1.53,64.17,11.36,30.94,4.1,311.0,2.04,11.1,IFCT_DERIVED
