ingredient,ifct_code,ifct_name,food_group,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fibre_g_per_100g,potassium_mg_per_100g,sodium_mg_per_100g,calcium_mg_per_100g,iron_mg_per_100g,data_source,source_reference,data_status,notes
"Wheat flour, atta",A019,"Wheat flour, atta",Cereals and Millets,320.27,10.57,1.53,64.17,11.36,311.0,2.04,30.94,4.1,IFCT_2017,IFCT2017:A019,VERIFIED,Direct match to whole wheat atta
"Wheat flour, refined",A018,"Wheat flour, refined",Cereals and Millets,351.82,10.36,0.76,74.27,2.76,148.0,1.54,20.4,1.77,IFCT_2017,IFCT2017:A018,VERIFIED,Direct match to maida (refined wheat flour)
"Rice, raw/parboiled",A014,"Rice, parboiled, milled",Cereals and Millets,351.58,7.81,0.55,77.16,3.74,142.0,3.16,8.11,0.72,IFCT_2017,IFCT2017:A014,VERIFIED,Direct match to parboiled milled rice
"Rice, flakes",A011,"Rice, flakes",Cereals and Millets,353.73,7.44,1.14,76.75,3.46,148.0,2.58,9.19,4.46,IFCT_2017,IFCT2017:A011,VERIFIED,Direct match to poha (rice flakes)
"Rice, puffed",A012,"Rice, puffed",Cereals and Millets,361.85,7.47,1.62,77.68,2.56,140.0,3.69,15.09,4.55,IFCT_2017,IFCT2017:A012,VERIFIED,Direct match to murmura (puffed rice)
"Wheat, semolina",A022,"Wheat, semolina",Cereals and Millets,333.65,11.38,0.74,68.43,9.72,284.0,2.31,29.38,2.98,IFCT_2017,IFCT2017:A022,VERIFIED,Direct match to suji / rava
"Wheat, vermicelli",A023,"Wheat, vermicelli",Cereals and Millets,332.7,9.7,0.45,70.39,9.28,163.0,2.71,19.42,2.02,IFCT_2017,IFCT2017:A023,VERIFIED,Direct match to sevai
"Wheat, bulgur",A021,"Wheat, bulgur",Cereals and Millets,341.78,10.84,1.45,69.06,8.81,330.0,2.09,27.09,3.86,IFCT_2017,IFCT2017:A021,VERIFIED,Direct match to dalia (broken wheat bulgur)
"Bengal gram, dal",B001,"Bengal gram, dal",Grain Legumes,329.11,21.55,5.31,46.72,15.15,957.0,20.83,46.32,6.08,IFCT_2017,IFCT2017:B001,VERIFIED,Direct match to chana dal
"Bengal gram, whole",B002,"Bengal gram, whole",Grain Legumes,287.05,18.77,5.11,39.56,25.22,935.0,26.56,150.0,6.78,IFCT_2017,IFCT2017:B002,VERIFIED,Direct match to kala chana
"Bengal gram, flour",B001,"Bengal gram, dal",Grain Legumes,329.11,21.55,5.31,46.72,15.15,957.0,20.83,46.32,6.08,IFCT_2017,IFCT2017:B001,VERIFIED,Besan is mechanically milled dehulled Bengal gram dal
