menu_row_id,original_date,normalized_date,original_meal,normalized_meal,hostel_scope,original_dish,canonical_dish,is_dessert_flag,provenance_notes
1,2026-10-01,2026-10-01,Breakfast,BREAKFAST,COMMON,Poori Aloo Chana,Poori Aloo Chana,False,DIRECT_MENU_ITEM
2,2026-10-01,2026-10-01,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
3,2026-10-01,2026-10-01,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
4,2026-10-01,2026-10-01,Lunch,LUNCH,COMMON,Kadhi Aloo Onion,Aloo Onion Kadhi,False,CANONICAL_MAPPING
5,2026-10-01,2026-10-01,Lunch,LUNCH,COMMON,Aloo Matar,Aloo Matar,False,DIRECT_MENU_ITEM
6,2026-10-01,2026-10-01,Lunch,LUNCH,COMMON,Plain Rice,Plain Rice,False,CANONICAL_MAPPING
7,2026-10-01,2026-10-01,Lunch,LUNCH,COMMON,Fryums,Fryums,False,DIRECT_MENU_ITEM
8,2026-10-01,2026-10-01,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
9,2026-10-01,2026-10-01,E-Tea,E_TEA,COMMON,Namkeen,Namkeen,False,DIRECT_MENU_ITEM
10,2026-10-01,2026-10-01,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
11,2026-10-01,2026-10-01,Girls Hostel,E_TEA,GIRLS_HOSTEL,Chocolate Pie,Chocolate Pie,False,DIRECT_MENU_ITEM
12,2026-10-01,2026-10-01,Girls Hostel,E_TEA,GIRLS_HOSTEL,Coffee,Coffee,False,DIRECT_MENU_ITEM
13,2026-10-01,2026-10-01,Dinner,DINNER,COMMON,White Chana Khata Mitha Kaddu,White Chana,False,COMPOUND_SPLIT_PRIMARY
14,2026-10-01,2026-10-01,Dinner,DINNER,COMMON,White Chana Khata Mitha Kaddu,Khata Mitha Kaddu,False,COMPOUND_SPLIT_SECONDARY
15,2026-10-01,2026-10-01,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
16,2026-10-01,2026-10-01,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
17,2026-10-01,2026-10-01,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
18,2026-10-01,2026-10-01,Dessert,DINNER,COMMON,Custard,Custard,True,DIRECT_MENU_ITEM_DESSERT_ATTACHED_TO_DINNER
19,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Sweet Dalia,Sweet Dalia,False,DIRECT_MENU_ITEM
20,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Omelette,Omelette,False,DIRECT_MENU_ITEM
