date,meal,dish
2026-10-01,Breakfast,Poori Aloo Chana
2026-10-01,Breakfast,Tea
2026-10-01,Breakfast,Pickle
2026-10-01,Lunch,Kadhi Aloo Onion
2026-10-01,Lunch,Aloo Matar
2026-10-01,Lunch,Plain Rice
2026-10-01,Lunch,Fryums
2026-10-01,Lunch,Chapati
2026-10-01,E-Tea,Namkeen
2026-10-01,E-Tea,Tea
2026-10-01,Girls Hostel,Chocolate Pie
2026-10-01,Girls Hostel,Coffee
2026-10-01,Dinner,White Chana Khata Mitha Kaddu
2026-10-01,Dinner,Steamed Rice
2026-10-01,Dinner,Green Salad
2026-10-01,Dinner,Chapati
2026-10-01,Dessert,Custard
2026-10-02,Breakfast,Sweet Dalia
2026-10-02,Breakfast,Omelette
2026-10-02,Breakfast,Banana
2026-10-02,Breakfast,Fat Spread
2026-10-02,Breakfast,Jam
2026-10-02,Breakfast,Bread
2026-10-02,Breakfast,Tea
2026-10-02,Lunch,Sabut Masoor Dal Aloo Capsicum
2026-10-02,Lunch,Steamed Rice
2026-10-02,Lunch,Mix Raita
2026-10-02,Lunch,Green Salad
2026-10-02,Lunch,Chapati
2026-10-02,E-Tea,Bread Pakora
2026-10-02,E-Tea,Tea
2026-10-02,Girls Hostel,Pink Sauce Pasta
2026-10-02,Girls Hostel,Coffee
2026-10-02,Dinner,Yellow Dal Tadka
2026-10-02,Dinner,Gobhi Matar
2026-10-02,Dinner,Steamed Rice
2026-10-02,Dinner,Green Salad
2026-10-02,Dinner,Chapati
2026-10-03,Breakfast,Stuffed Paratha
2026-10-03,Breakfast,Curd
2026-10-03,Breakfast,Pickle
2026-10-03,Breakfast,Fat Spread
2026-10-03,Breakfast,Tea
2026-10-03,Lunch,Black Dal Tadka
2026-10-03,Lunch,Veg Jaipuri
2026-10-03,Lunch,Boondi Raita
2026-10-03,Lunch,Steamed Rice
2026-10-03,Lunch,Green Salad
2026-10-03,Lunch,Chapati
2026-10-03,E-Tea,Pink Sauce Pasta
2026-10-03,E-Tea,Coffee
2026-10-03,Girls Hostel,Namkeen
2026-10-03,Girls Hostel,Tea
