dish,ingredient,quantity_g,basis,source,source_type,reason,notes
Aloo,Potato,100.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bhaji,Potato,80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bhaji,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bhaji,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bhaji,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bonda,Potato,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bonda,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bonda,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Bonda,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Cabbage Matar,Potato,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Cabbage Matar,Cabbage,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Cabbage Matar,Green peas,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Cabbage Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Cabbage Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Capsicum,Potato,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Capsicum,"Capsicum, green",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Capsicum,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Capsicum,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Capsicum,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Jeera,Potato,85.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Jeera,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Jeera,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Jeera,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Matar,Potato,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Matar,Green peas,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Matar,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Onion Kadhi,Curd / Dahi,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
